Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,12/08/00,Beveren,Charleroi,1,2,A,1,1,D,2.2,3.5,2.5,2,3,2.9,2.05,3.4,2.95,2,3.4,2.9
B1,12/08/00,Mechelen,Genk,0,0,D,0,0,D,2,3.6,2.65,2.1,3,2.8,2.3,3.4,2.55,2.4,3.3,2.4
B1,12/08/00,Louvieroise,Lokeren,0,0,D,0,0,D,2.3,3.3,2.45,2.35,3,2.35,2.45,3.4,2.4,2.4,3.3,2.4
B1,12/08/00,Mouscron,Germinal,3,0,H,1,0,H,1.9,3.3,3.5,1.8,3,3.5,1.85,3.4,3.5,,,
B1,12/08/00,Westerlo,Antwerp,2,1,H,1,0,H,1.41,4.1,4.7,1.75,3.1,3.6,1.6,3.5,4.5,1.61,3.6,4.2
B1,13/08/00,Aalst,Lierse,1,3,A,0,1,A,2.7,3.3,2.1,2.3,3,2.4,2.6,3.2,2.3,2.4,3.3,2.4
B1,13/08/00,Club Brugge,Gent,6,2,H,3,0,H,1.8,3.4,3.5,1.6,3.2,4.2,1.6,3.5,4.5,1.61,3.75,4
B1,13/08/00,Harelbeke,Standard,3,4,A,1,2,A,2.6,3.2,2.2,2.6,3,2.2,2.75,3.25,2.2,2.6,3.3,2.25
B1,13/08/00,St Truiden,Anderlecht,0,0,D,0,0,D,4,3,1.75,3.8,3.2,1.65,4.1,3.45,1.7,3.8,3.5,1.7
B1,19/08/00,Gent,Mechelen,2,1,H,1,0,H,1.5,3.5,5.1,1.4,3.6,5.5,1.53,3.5,5,1.5,3.6,5.2
B1,19/08/00,Anderlecht,Westerlo,3,2,H,1,1,D,1.3,4.2,7.4,1.3,4,7,1.33,4,7.5,1.35,4.1,6.5
B1,19/08/00,Antwerp,Beveren,0,1,A,0,1,A,1.9,3.3,3.2,1.7,3.2,3.6,1.83,3.3,3.5,1.8,3.3,3.6
B1,19/08/00,Charleroi,Harelbeke,5,0,H,2,0,H,1.8,3.2,3.6,1.8,3,3.5,1.8,3.3,3.6,1.65,3.4,4.2
B1,19/08/00,Genk,Aalst,3,1,H,2,1,H,1.45,3.3,5.2,1.55,3.3,4.5,1.44,3.6,6,1.3,4.25,7.5
B1,19/08/00,Lokeren,Germinal,2,0,H,1,0,H,2.05,3.2,2.9,1.9,2.9,3.2,2.1,3.2,2.88,2.15,3.3,2.7
B1,19/08/00,St Truiden,Lierse,0,1,A,0,0,D,2.2,3.6,2.7,2.35,3,2.35,2.38,3.2,2.5,2.4,3.3,2.4
B1,19/08/00,Standard,Louvieroise,3,0,H,0,0,D,1.35,4,6.3,1.25,4.3,8,1.33,4,7.5,1.3,4.3,7.5
B1,20/08/00,Mouscron,Club Brugge,1,2,A,1,1,D,2.5,3.1,2.4,2.7,2.9,2.2,2.63,3.25,2.25,2.65,3.3,2.2
B1,25/08/00,Germinal,Standard,1,0,H,1,0,H,2.55,3.3,2.2,2.35,3,2.35,2.6,3.25,2.3,2.45,3.3,2.35
B1,26/08/00,Anderlecht,Beveren,4,0,H,2,0,H,1.2,5,7.8,1.2,4.7,9,1.22,5,9,1.2,5,9.5
B1,26/08/00,Mechelen,Mouscron,1,5,A,0,2,A,2.55,3.35,2.35,2.35,3,2.35,2.38,3.25,2.5,2.35,3.3,2.45
B1,26/08/00,St Truiden,Genk,2,2,D,1,0,H,2.55,3.3,2.25,2.35,3,2.35,2.63,3.2,2.3,2.55,3.3,2.25
B1,27/08/00,Aalst,Gent,1,4,A,1,1,D,3,3.2,2.1,2.9,3,2,2.88,3.3,2.1,2.75,3.35,2.1
B1,27/08/00,Charleroi,Antwerp,1,0,H,1,0,H,1.6,3.35,4.8,1.6,3.3,4,1.62,3.5,4.5,1.6,3.4,4.5
B1,27/08/00,Club Brugge,Lokeren,3,1,H,1,1,D,1.25,4.4,8,1.25,4.3,8,1.3,4.33,8,1.3,4.4,7
B1,27/08/00,Harelbeke,Louvieroise,2,2,D,1,1,D,1.66,3.5,4.2,1.75,3.2,3.4,1.73,3.4,4,1.7,3.4,3.9
B1,27/08/00,Westerlo,Lierse,1,0,H,0,0,D,2.2,3.1,2.8,2,3,2.9,2.25,3.2,2.7,2.2,3.3,2.65
B1,05/09/00,Anderlecht,Charleroi,7,2,H,3,1,H,1.4,3.7,6,1.4,3.6,5.5,1.4,3.8,6.75,1.45,3.7,5.7
B1,06/09/00,Gent,St Truiden,2,1,H,0,0,D,1.45,3.65,5.05,1.35,3.8,6.2,1.44,3.75,6,1.4,3.9,6
B1,06/09/00,Antwerp,Harelbeke,2,0,H,0,0,D,2,3.2,3,1.85,3,3.3,1.91,3.3,3.3,1.85,3.45,3.25
B1,06/09/00,Genk,Westerlo,1,2,A,1,0,H,1.8,3.3,3.7,1.85,3,3.3,1.8,3.25,3.75,1.65,3.5,4.1
B1,06/09/00,Louvieroise,Germinal,0,5,A,0,3,A,2.3,3.25,2.5,2.35,3,2.35,2.4,3.2,2.5,2.4,3.35,2.35
B1,06/09/00,Lierse,Beveren,3,0,H,1,0,H,1.45,3.7,5.5,1.35,3.8,6.2,1.44,3.75,6,1.45,3.75,5.5
B1,06/09/00,Lokeren,Mechelen,3,2,H,0,2,A,1.66,3.5,3.95,1.55,3.3,4.5,1.67,3.5,4.2,1.7,3.5,3.8
B1,06/09/00,Mouscron,Aalst,2,0,H,0,0,D,1.3,4.1,7.2,1.3,4,7,1.36,4,7,1.35,4.1,6.5
B1,06/09/00,Standard,Club Brugge,0,4,A,0,1,A,2.35,3.3,2.4,2.35,3,2.35,2.4,3.2,2.5,2.4,3.2,2.45
B1,09/09/00,Antwerp,Anderlecht,0,3,A,0,1,A,3.8,3.45,1.66,3.8,3.2,1.65,4.33,3.4,1.67,4,3.5,1.65
B1,09/09/00,Beveren,Genk,2,0,H,1,0,H,2.6,3.15,2.25,2.6,3,2.2,2.7,3.1,2.3,2.55,3.35,2.25
B1,09/09/00,Charleroi,Lierse,2,0,H,0,0,D,2.2,3.2,2.6,2.1,3,2.8,2.2,3.2,2.8,2.2,3.35,2.6
B1,09/09/00,Mechelen,Standard,0,4,A,0,1,A,2.7,3.2,2.1,2.8,3,2.1,2.7,3.25,2.25,2.35,3.4,2.15
B1,09/09/00,St Truiden,Mouscron,1,4,A,1,2,A,2.7,3.15,2.15,2.8,3,2.1,2.6,3.25,2.3,2.5,3.3,2.3
B1,09/09/00,Westerlo,Gent,0,0,D,0,0,D,2.05,3.5,2.9,2.2,3,2.6,2.2,3.25,2.75,2.15,3.4,2.65
B1,10/09/00,Aalst,Lokeren,2,2,D,2,1,H,2.35,3.15,2.5,2.3,3.1,2.3,2.4,3.2,2.5,2.4,3.35,2.35
B1,10/09/00,Club Brugge,Louvieroise,3,0,H,1,0,H,1.15,5.3,10,1.15,5.5,11,1.14,5.5,13,1.15,6,10
B1,10/09/00,Harelbeke,Germinal,3,0,H,2,0,H,2.25,3.2,2.55,2.3,3.1,2.3,2.38,3.3,2.5,2.35,3.35,2.4
B1,16/09/00,Gent,Beveren,5,0,H,3,0,H,1.45,3.7,5.5,1.35,3.8,6.2,1.44,3.75,5.5,1.45,3.8,5.4
B1,16/09/00,Anderlecht,Harelbeke,4,3,H,2,1,H,1.15,5.75,9.5,1.15,5.5,11,1.2,5.25,9.5,1.2,5.5,8
B1,16/09/00,Louvieroise,Mechelen,2,2,D,0,0,D,2.1,3.3,2.8,2.2,3,2.6,2.2,3.25,2.75,2.15,3.35,2.65
B1,16/09/00,Lierse,Antwerp,4,1,H,2,1,H,1.45,3.6,5.5,1.3,4,7,1.5,3.6,5.5,1.5,3.7,5
B1,16/09/00,Lokeren,St Truiden,2,1,H,0,0,D,1.6,3.5,4.4,1.5,3.4,4.7,1.6,3.6,4.5,1.6,3.6,4.25
B1,16/09/00,Mouscron,Westerlo,3,5,A,1,3,A,1.75,3.5,3.8,1.6,3.3,4,1.7,3.5,4,1.7,3.45,3.8
B1,16/09/00,Standard,Aalst,7,0,H,4,0,H,1.2,5.4,9,1.25,4.3,8,1.25,5,8,1.2,5.3,8.5
B1,17/09/00,Germinal,Club Brugge,2,3,A,0,1,A,3.6,3.5,1.8,3.2,3.1,1.85,3.5,3.3,1.83,3.1,3.3,1.95
B1,17/09/00,Genk,Charleroi,2,1,H,0,1,A,2,3.35,3.1,2.1,3,2.8,1.9,3.4,3.25,1.9,3.4,3.15
B1,22/09/00,Anderlecht,Lierse,5,2,H,2,1,H,1.35,4,6.5,1.4,3.6,5.5,,,,1.35,4.1,6.5
B1,23/09/00,Beveren,Mouscron,0,0,D,0,0,D,2.75,3.4,2.15,3.1,3,1.9,2.75,3.4,2.1,2.6,3.35,2.2
B1,23/09/00,Charleroi,Gent,4,3,H,2,0,H,2.2,3.5,2.5,2.2,3,2.6,2.2,3.3,2.63,2.2,3.35,2.6
B1,23/09/00,Mechelen,Germinal,2,3,A,0,0,D,2.35,3.3,2.45,2.3,3,2.4,2.4,3.3,2.4,2.3,3.35,2.45
B1,23/09/00,St Truiden,Standard,1,1,D,0,1,A,3.2,3.45,1.9,3.2,3.1,1.85,3.3,3.3,1.9,3.2,3.5,1.85
B1,23/09/00,Westerlo,Lokeren,1,1,D,0,0,D,1.66,3.4,4,1.7,3.1,3.8,1.7,3.4,4,1.65,3.5,4.1
B1,24/09/00,Aalst,Louvieroise,1,0,H,0,0,D,2,3.15,3.4,1.9,2.9,3.2,1.91,3.3,3.2,2,3.4,2.9
